City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
627,Zolotukhino,RU,52.0842,36.3772,37.47,66,100,26.42,overcast clouds
628,Tamandare,BR,-8.7597,-35.1047,77.77,85,88,8.39,overcast clouds
629,Havelock,US,34.8791,-76.9013,40.93,100,1,4.61,clear sky
630,Chamba,IN,32.5667,76.1333,70.03,15,41,3.8,scattered clouds
631,Toktogul,KG,41.8708,72.9402,38.37,45,99,1.52,overcast clouds
632,Nang Rong,TH,14.6377,102.7914,79.21,70,97,16.87,overcast clouds
633,Mercedes,AR,-34.6515,-59.4307,63.01,74,0,5.23,clear sky
634,Princeton,US,25.5384,-80.4089,66.99,79,1,0.0,clear sky
635,Cuauhtemoc,MX,28.4167,-106.8667,53.35,63,90,4.45,overcast clouds
636,Galway,IE,53.2719,-9.0489,49.95,87,97,16.53,overcast clouds
637,Lokossa,BJ,6.6387,1.7167,74.8,95,27,2.26,light rain
638,Rio Grande,BR,-32.035,-52.0986,66.83,81,100,21.59,overcast clouds
639,Baykalovo,RU,57.3981,63.7684,31.68,95,100,7.99,overcast clouds
640,Deer Lake,CA,49.1667,-57.4316,39.06,93,90,12.66,overcast clouds
641,Rudnogorsk,RU,57.2639,103.7519,16.97,90,100,6.98,overcast clouds
642,Mishan,CN,45.55,131.8833,20.79,94,100,6.44,heavy snow
643,Batavia,US,41.85,-88.3126,38.75,72,1,1.99,clear sky
644,Whitehorse,CA,60.7161,-135.0538,2.17,85,75,5.75,broken clouds
645,Mont-Dore,NC,-22.2833,166.5833,86.0,99,46,13.27,scattered clouds
646,Faanui,PF,-16.4833,-151.75,80.58,80,100,17.76,moderate rain
647,Moroni,KM,-11.7022,43.2551,82.4,65,20,3.44,light rain
648,Rajapur,IN,25.3833,81.15,73.4,38,82,4.61,broken clouds
649,Tete,MZ,-16.1564,33.5867,74.97,51,24,5.39,few clouds
650,Kattivakkam,IN,13.2167,80.3167,86.09,84,62,12.26,broken clouds
651,La Ligua,CL,-32.4524,-71.2311,47.98,72,0,0.67,clear sky
652,Muravlenko,RU,63.7898,74.523,-3.69,95,85,12.95,overcast clouds
653,Qasigiannguit,GL,68.8193,-51.1922,23.63,84,99,6.89,overcast clouds
654,Andenes,NO,69.3143,16.1194,26.58,68,0,17.27,clear sky
655,Rehoboth,NA,-23.3167,17.0833,64.38,25,0,0.49,clear sky
656,Camana,PE,-16.6228,-72.7111,65.57,85,68,7.07,broken clouds
657,Nassau,US,40.7507,-73.5829,34.7,64,1,3.44,clear sky
